Lampiran 2. Wawancara dengan Admin ULBK konseling UPNVJ,
Tanggal : 25 Agustus 2025,
"Narasumber	: Djakiyah Kalsum Azmi, S.Psi",
"Tujuan wawancara ini dilakukan untuk memperoleh informasi mengenai sistem layanan konseling yang berjalan di Unit Layanan Bimbingan dan Konseling (ULBK) UPN Veteran Jakarta, khususnya terkait alur pelayanan, peran admin dalam mendukung proses konseling, serta kendala yang dihadapi dalam pengelolaan data dan pelayanan konseling mahasiswa.",
No.,Pertanyaan Dan Jawaban
1.,"Sejak kapan layanan bimbingan konseling mahasiswa tersedia di UPNVJ, dan bagaimana perkembangan layanannya hingga saat ini? Saya mulai menjadi admin sejak tahun 2023, perkembangan layanan cukup baik"
2. ,"Layanan konseling mencakup aspek akademik, keluarga, pribadi, dan hubungan sosial. Jenis masalah apa yang paling sering dialami mahasiswa belakangan ini?  Masalah yang paling sering dikeluhkan oleh mahasiswa adalah aspek akademik dan pribadi"
3.,"Bagaimana alur pendaftaran dan proses konseling saat ini, mulai dari mahasiswa mendaftar hingga sesi tatap muka atau sesi daring? pendaftaran dimulai dari mahasiswa mengisi form di web konseling namun, saat ini form di web sedang ada trouble dimana admin tidak dapat melihat form yang sudah masuk jadi untuk pendaftaran manual via chat whatsapp konseling, kemudian h-1 atau hari h pagi akan dikonfirmasi kehadirannya kembali dan kemudian sesi assessment jika pertama kali konseling, setelah assessment baru bisa sesi tatap muka/daring dengan psikolog"
4. ,"Apakah ada proses identifikasi awal kondisi emosional mahasiswa sebelum sesi konseling dimulai?   Proses identifikasi kondisi mental dan emosional biasa hanya melalui assessment pertemuan pertama, pada pertemuan selanjutnya langsung sesi tatap muka/daring tanpa identifikasi lagi"
5. ,Apakah Anda melihat kebutuhan untuk mempercepat proses identifikasi kondisi emosional mahasiswa sebelum sesi dimulai? Saya melihat ada kebutuhan untuk mempercepat proses tersebut terutama jika masalahnya yang dihadapi mahasiswa urgent dan ada kemungkinan mengancam jiwa mahasiswa tersebut
6.,"Bagaimana pendapat Anda jika ada chatbot yang dapat membantu mendeteksi emosi mahasiswa sebelum sesi konseling, yang sifatnya opsional? Menurut saya chatbot dapat menjadi sebuah hal yang membantu, terlebih jika chatbot tersebut dapat mendeteksi secara cepat, karena biasanya assessment membutuhkan waktu 1 jam pengerjaan"
7.,"Menurut Anda, informasi awal apa saja yang akan paling bermanfaat bagi konselor bila diberikan chatbot sebelum sesi?   Informasi tentang keadaan mental dan emosional dari mahasiswa/klien, gejala-gejala apa yang dirasakan dan dirasa sudah mengganggu kegiatan sehari-hari, list terkait hal apa saja yang membuat mahasiswa/klien merasa terganggu secara mental dan emosional"
8.,"Apakah Anda memiliki kekhawatiran terkait privasi atau kerahasiaan data mahasiswa jika chatbot digunakan? Tentu ada kekhawatiran, biasanya juga ada keraguan pada mahasiswa/klien ketika ingin mendaftar ke konseling karena pada salah satu isian form konseling ada form dosen PA"
9. ,Bagaimana sebaiknya chatbot diintegrasikan dengan prosedur konseling yang sudah ada agar tidak mengganggu alur layanan? Chatbot saya rasa bisa diintegrasikan untuk assessment pada pertemuan pertama agar di hari yang sama setelah aplikasi chatbot selesai mendeteksi mahasiswa dapat langsung melakukan sesi tatap muka dengan psikolog
Lampiran 3. Wawancara Dengan Psikolog UPNVJ,
Tanggal : 25 Agustus 2025,
"Narasumber Dra Rosnalisa Z, M. Psi",
"Tujuan wawancara ini adalah untuk menggali informasi mendalam mengenai praktik layanan konseling psikologis di UPN Veteran Jakarta, termasuk metode asesmen yang digunakan, strategi intervensi psikolog dalam menangani mahasiswa, serta tantangan yang dihadapi dalam proses konseling. Selain itu, wawancara ini juga bertujuan untuk mendapatkan masukan terkait kebutuhan pengembangan sistem pendukung layanan konseling berbasis teknologi yang dapat meningkatkan efektivitas dan efisiensi pelayanan.",
No,Pertanyaan Dan Jawaban
1.,"Sejak kapan layanan bimbingan konseling mahasiswa tersedia di UPNVJ, dan bagaimana perkembangan layanannya hingga saat ini? 2022"
2.,"Layanan konseling mencakup aspek akademik, keluarga, pribadi, dan hubungan sosial. Jenis masalah apa yang paling sering dialami mahasiswa belakangan ini?  1. Keluarga, 2. pribadi 3. hubungan sosial 4. Akademik (berurutan)"
3. ,"Bagaimana alur pendaftaran dan proses konseling saat ini, mulai dari mahasiswa mendaftar hingga sesi tatap muka atau sesi daring?, Mahasiswa mendaftar, mengisi form, ditanggapi admin, membuat jadual, layanan sesuai kebutuhan /situasi online atau offline"
4.,"Apakah ada proses identifikasi awal kondisi emosional mahasiswa sebelum sesi konseling dimulai?   Ya, bentuk assesment"
5.,Apakah Anda melihat kebutuhan untuk mempercepat proses identifikasi kondisi emosional mahasiswa sebelum sesi dimulai? Ya
6.,"Bagaimana pendapat Anda jika ada chatbot yang dapat membantu mendeteksi emosi mahasiswa sebelum sesi konseling, yang sifatnya opsional? Chatbot belum pernah"
7.,"Menurut Anda, informasi awal apa saja yang akan paling bermanfaat bagi konselor bila diberikan chatbot sebelum sesi?   konseling awal yang bersifat mendesak"
8.,Apakah Anda memiliki kekhawatiran terkait privasi atau kerahasiaan data mahasiswa jika chatbot digunakan? Ya
9.,Bagaimana sebaiknya chatbot diintegrasikan dengan prosedur konseling yang sudah ada agar tidak mengganggu alur layanan?Bisa dicoba
Lampiran 4. Wawancara dengan Mahasiswa FIK Angkatan 2022,
Nama: Adrian Fakhriza hakim,
NIM: 2210511050,
Tanggal: 15 Agustus 2025,
No.,Pertanyaan dan Jawaban
1.,Apakah anda mengetahui bahwa kampus UPN Veteran Jakarta menyediakan layanan bimbingan konseling untuk mahasiswa? Ya
2.,"Apakah Anda pernah menggunakan layanan bimbingan konseling kampus?
Tidak"
3.,"Menurut Anda, apa kendala atau hambatan terbesar yang membuat mahasiswa enggan datang langsung ke layanan bimbingan konseling? Ongkos dan waktu perjalanan"
4.,"Menurut Anda, jenis masalah apa yang paling sering dialami mahasiswa di kampus? Masalah UKT dan KRS"
5.,Tipe emosi apa saja yang menurut Anda penting untuk dikenali oleh chatbot agar dapat membantu pra-konseling secara efektif?  
6.,Seberapa penting bagi Anda agar chatbot dapat mendeteksi emosi dengan akurat sebelum sesi tatap muka dengan konselor?  Penting agar konselor mengetahui lebih dahulu emosi mahasiswa yang akan konseling
7.,Dalam situasi apa anda paling mungkin ingin menggunakan chatbot ini? Malas bertanya ke kampus
8.,Apakah Anda lebih nyaman jika chatbot hanya memberikan respons umum atau juga menyarankan Anda untuk melanjutkan ke layanan bimbingan konseling kampus?  Menyarankan
9.,Seberapa nyaman dan percaya diri Anda membicarakan masalah pribadi melalui chatbot dibandingkan tatap muka dengan konselor?  Sangat nyaman karena biasanya responnya positive vibe karena sudah diprogram
10.,"Menurut Anda, seberapa penting keamanan dan kerahasiaan data saat menggunakan chatbot ini? Sangat Penting!"
11.,Apakah Anda setuju jika hasil deteksi emosi dari chatbot disimpan untuk membantu konselor memahami kondisi Anda sebelum sesi tatap muka? Setuju
12.,Apakah Anda lebih memilih chatbot berkomunikasi menggunakan bahasa formal atau informal/santai?  Formal
13.,"Bagaimana Anda ingin mengakses chatbot ini? (Website, aplikasi mobile, dll) website"
Lampiran 5 Wawancara dengan Mahasiswa FIK Angkatan 2022,
Nama: Rendy Sahrasad,
NIM: 2210511132,
Tanggal: 15 Agustus 2025,
No.,Pertanyaan dan Jawaban
1.,Apakah anda mengetahui bahwa kampus UPN Veteran Jakarta menyediakan layanan bimbingan konseling untuk mahasiswa?Tidak
2.,"Apakah Anda pernah menggunakan layanan bimbingan konseling kampus?
Tidak"
3.,"Menurut Anda, apa kendala atau hambatan terbesar yang membuat mahasiswa enggan datang langsung ke layanan bimbingan konseling? Kurangnya himbauan terkait apakah ada layanan bimbingan di kampus"
4.,"Menurut Anda, jenis masalah apa yang paling sering dialami mahasiswa di kampus?  Masalah personal, hubungan, atau karir"
5.,Tipe emosi apa saja yang menurut Anda penting untuk dikenali oleh chatbot agar dapat membantu pra-konseling secara efektif?  Cemas
6.,Seberapa penting bagi Anda agar chatbot dapat mendeteksi emosi dengan akurat sebelum sesi tatap muka dengan konselor?  Penting karena memberikan konselor beberapa bayangan terkait
7.,Dalam situasi apa anda paling mungkin ingin menggunakan chatbot ini? Saat ada masalah karir
8.,Apakah Anda lebih nyaman jika chatbot hanya memberikan respons umum atau juga menyarankan Anda untuk melanjutkan ke layanan bimbingan konseling kampus?  Melanjutkan ke layanan bimbingan konseling
9.,"Seberapa nyaman dan percaya diri Anda membicarakan masalah pribadi melalui chatbot dibandingkan tatap muka dengan konselor?  Kurang nyaman, karena namanya konsultasi seharusnya face to face"
10.,"Menurut Anda, seberapa penting keamanan dan kerahasiaan data saat menggunakan chatbot ini? Penting"
11.,Apakah Anda setuju jika hasil deteksi emosi dari chatbot disimpan untuk membantu konselor memahami kondisi Anda sebelum sesi tatap muka? Setuju
12.,Apakah Anda lebih memilih chatbot berkomunikasi menggunakan bahasa formal atau informal/santai?  Informal
13.,"Bagaimana Anda ingin mengakses chatbot ini? (Website, aplikasi mobile, dll)Website"
Lampiran 6 Wawancara dengan Mahasiswa FIK Angkatan 2022,
Nama: Nabilah Dwi Gunasti,
NIM: 2210511096,
Tanggal Wawancara: 15 Agustus 2025,
No.,Pertanyaan dan Jawaban
1.,"Apakah anda mengetahui bahwa kampus UPN Veteran Jakarta menyediakan layanan bimbingan konseling untuk mahasiswa? Tidak, saya hanya mengetahui bahwa siswa dapat melakukan konsultasi dengan pembimbing akademik."
2.,Apakah Anda pernah menggunakan layanan bimbingan konseling kampus? Tidak
3.,"Menurut Anda, apa kendala atau hambatan terbesar yang membuat mahasiswa enggan datang langsung ke layanan bimbingan konseling? Mungkin karena mahasiswa sendiri tidak begitu familiar dengan layanan tersebut."
4.,"Menurut Anda, jenis masalah apa yang paling sering dialami mahasiswa di kampus? Permasalahan akademik, seperti perubahan kurikulum secara mendadak yang merugikan mahasiswa."
5.,"Tipe emosi apa saja yang menurut Anda penting untuk dikenali oleh chatbot agar dapat membantu pra-konseling secara efektif?  Mungkin chatbot harus bisa mengidentifikasi saat mahasiswa merasa kesal, atau sedih, atau saat mahasiswa merasa sangat butuh bantuan sehingga konseling dapat berjalan sesuai dengan kebutuhan mahasiswa."
6.,"Seberapa penting bagi Anda agar chatbot dapat mendeteksi emosi dengan akurat sebelum sesi tatap muka dengan konselor?  Mungkin cukup penting bila emosi yang dirasakan mahasiswa sudah mengarah ke hal-hal yang tidak seharusnya dilakukan, seperti tindak anarkis atau tindakan menyakiti diri sendiri."
7.,Dalam situasi apa anda paling mungkin ingin menggunakan chatbot ini? Saat ingin menggunakan layanan konseling.
8.,Apakah Anda lebih nyaman jika chatbot hanya memberikan respons umum atau juga menyarankan Anda untuk melanjutkan ke layanan bimbingan konseling kampus?  Saya akan lebih nyaman bila chatbot bisa mengidentifikasi apakah saya harus membawa permasalahan saya ke layanan bimbingan konseling atau tidak.
9.,Seberapa nyaman dan percaya diri Anda membicarakan masalah pribadi melalui chatbot dibandingkan tatap muka dengan konselor?  Saya cukup nyaman untuk membagikan informasi selama informasi yang dibagikan itu tidak terlalu privasi dan bersifat anonim.
10.,"Menurut Anda, seberapa penting keamanan dan kerahasiaan data saat menggunakan chatbot ini? Sangat penting karena menyangkut data pribadi seseorang."
11.,"Apakah Anda setuju jika hasil deteksi emosi dari chatbot disimpan untuk membantu konselor memahami kondisi Anda sebelum sesi tatap muka? Setuju, tetapi aksesnya hanya diberikan untuk konselor saja."
12.,Apakah Anda lebih memilih chatbot berkomunikasi menggunakan bahasa formal atau informal/santai? Informal 
13. ,"Bagaimana Anda ingin mengakses chatbot ini? (Website, aplikasi mobile, dll)Saya lebih nyaman untuk mengaksesnya melalui website."
Lampiran 7 Wawancara dengan Mahasiswa Fakultas Hukum Angkatan 2022,
Nama: Anissa Nabilla,
NIM: 2210611171,
Tanggal Wawancara: 15 Agustus 2025,
No.,Pertanyaan dan Jawaban
1.,Apakah anda mengetahui bahwa kampus UPN Veteran Jakarta menyediakan layanan bimbingan konseling untuk mahasiswa? Tidak
2.,Apakah Anda pernah menggunakan layanan bimbingan konseling kampus? Tidak
3.,"Menurut Anda, apa kendala atau hambatan terbesar yang membuat mahasiswa enggan datang langsung ke layanan bimbingan konseling? Takut informasi pribadi tersebar"
4.,"Menurut Anda, jenis masalah apa yang paling sering dialami mahasiswa di kampus? Stress perkuliahan"
5.,"Tipe emosi apa saja yang menurut Anda penting untuk dikenali oleh chatbot agar dapat membantu pra-konseling secara efektif?  Kesedihan, kecemasan, kemarahan, rasa bersalah/malu, kesepian, kebingungan, dan emosi positif seperti rasa syukur. Mengenali emosi-emosi ini membantu chatbot memberi respon yang tepat, empati, dan mengarahkan pengguna ke bantuan yang sesuai di tahap pra-konseling."
6.,Seberapa penting bagi Anda agar chatbot dapat mendeteksi emosi dengan akurat sebelum sesi tatap muka dengan konselor?  Sangat penting
7.,Dalam situasi apa anda paling mungkin ingin menggunakan chatbot ini? Stress Perkuliahan
8.,Apakah Anda lebih nyaman jika chatbot hanya memberikan respons umum atau juga menyarankan Anda untuk melanjutkan ke layanan bimbingan konseling kampus?  Ya
9.,Seberapa nyaman dan percaya diri Anda membicarakan masalah pribadi melalui chatbot dibandingkan tatap muka dengan konselor?  kurang nyaman dan percaya
10.,"Menurut Anda, seberapa penting keamanan dan kerahasiaan data saat menggunakan chatbot ini? Sangat penting "
11.,Apakah Anda setuju jika hasil deteksi emosi dari chatbot disimpan untuk membantu konselor memahami kondisi Anda sebelum sesi tatap muka? Ya namun ada jaminan keamanan privasi
12. ,Apakah Anda lebih memilih chatbot berkomunikasi menggunakan bahasa formal atau informal/santai?  Tergantung situasi
13.,"Bagaimana Anda ingin mengakses chatbot ini? (Website, aplikasi mobile, dll) Website."
Lampiran 8. Wawancara dengan Mahasiswa Fakultas Teknik Angkatan 2022,
Nama: Raidha Karimah,
NIM: 2210312074,
Tanggal Wawancara: 18 Agustus 2025,
No.,Pertanyaan dan Jawaban
1.,Apakah anda mengetahui bahwa kampus UPN Veteran Jakarta menyediakan layanan bimbingan konseling untuk mahasiswa? Belum pernah
2.,Apakah Anda pernah menggunakan layanan bimbingan konseling kampus? Tidak
3.,"Menurut Anda, apa kendala atau hambatan terbesar yang membuat mahasiswa enggan datang langsung ke layanan bimbingan konseling? Biasanya karena rasa malu, takut dinilai orang lain, atau merasa masalahnya belum cukup “berat” untuk dibawa ke konselor."
4.,"Menurut Anda, jenis masalah apa yang paling sering dialami mahasiswa di kampus? Stres akademik, manajemen waktu, tekanan tugas/skripsi, masalah relasi (teman/pacar), dan juga kecemasan soal masa depan/karier."
5.,"Tipe emosi apa saja yang menurut Anda penting untuk dikenali oleh chatbot agar dapat membantu pra-konseling secara efektif?  Sedih, cemas, marah, stres, bingung, dan senang (biar tahu kondisi positif juga)."
6.,"Seberapa penting bagi Anda agar chatbot dapat mendeteksi emosi dengan akurat sebelum sesi tatap muka dengan konselor?  Cukup penting, supaya konselor dapat gambaran awal sebelum sesi tatap muka, jadi pembicaraan bisa lebih fokus."
7.,"Dalam situasi apa anda paling mungkin ingin menggunakan chatbot ini? Kalau lagi butuh teman cerita cepat, sedang bingung tapi belum siap ketemu konselor langsung, atau saat malam hari."
8.,"Apakah Anda lebih nyaman jika chatbot hanya memberikan respons umum atau juga menyarankan Anda untuk melanjutkan ke layanan bimbingan konseling kampus?  Lebih baik keduanya, yaitu dengan kasih respons umum tapi juga ada opsi diarahkan ke layanan konseling kalau memang perlu."
9.,"Seberapa nyaman dan percaya diri Anda membicarakan masalah pribadi melalui chatbot dibandingkan tatap muka dengan konselor?  Lebih nyaman awalnya lewat chatbot, karena terasa lebih anonim dan nggak takut di judge. Tapi untuk solusi mendalam, tetap perlu tatap muka."
10.,"Menurut Anda, seberapa penting keamanan dan kerahasiaan data saat menggunakan chatbot ini? Sangat penting, biar pengguna merasa aman dan percaya pakai chatbot tanpa khawatir datanya bocor."
11. ,Apakah Anda setuju jika hasil deteksi emosi dari chatbot disimpan untuk membantu konselor memahami kondisi Anda sebelum sesi tatap muka? 
12.,"Apakah Anda lebih memilih chatbot berkomunikasi menggunakan bahasa formal atau informal/santai?  Informal/santai, biar terasa lebih natural dan gampang nyambung."
13.,"Bagaimana Anda ingin mengakses chatbot ini? (Website, aplikasi mobile, dll) Paling enak lewat aplikasi mobile, tapi website juga oke sebagai alternatif."
